day,midge,algae_conc2,n,mean_pp,sd_pp,mean_sp,sd_sp,Bt,chl,Btlag
22,Midges,0.002,3,0.07081674908755069,0.01935218386222932,0.005003107930107976,0.0018117361756727522,0.3580373275630085,0.8059799999999996,0.4157690147207435
22,Midges,0.00390625,3,0.05829848727228643,0.017183510339600885,0.005179282505799754,0.0015907112536453847,0.3205391229643869,0.5956929999999999,0.4157690147207435
22,Midges,0.0078125,3,0.058033235759530385,0.014374608893730982,0.0038627947875038105,0.0015621715789903186,0.24306534803800942,0.7893059999999996,0.4157690147207435
22,Midges,0.015625,3,0.07940826288731831,0.015200869210890129,0.005697245780554186,0.0017522885797581064,0.41551454441635005,0.8311240000000001,0.4157690147207435
22,Midges,0.03125,3,0.10266079592066141,0.02397561038710277,0.002481369990839328,0.00166183402151752,0.2911301025483739,1.1068428000000001,0.4157690147207435
22,Midges,0.0625,3,0.06970205246797474,0.03268142089177427,0.0067862143822577615,0.0016724231832957865,0.4953477295006326,1.451340799999999,0.4157690147207435
22,Midges,0.125,3,0.08614470121351883,0.019087640457104142,0.006129927010561506,0.0016145503318894222,0.37316135891031876,1.775648,0.4157690147207435
22,Midges,0.25,3,0.06137361416440637,0.015945208923032164,0.008696174056537092,0.0017992599399558017,0.5796148310397559,3.170608,0.4157690147207435
22,Midges,0.5,3,0.1768028582435155,0.039214636995743804,0.015253514806250654,0.0020834229144629326,0.775560456474622,4.788392,0.4157690147207435
22,Midges,1,3,0.11430049516588092,0.02188352054452421,0.011807559237948562,0.0021275654409122274,0.6783292491171421,11.233152,0.4157690147207435
