coreid,NDVI_R,NDVI_cv,ENDVI,ENDVI_cv,ENDVI_1mmI,day
1,0.18326807610007545,0.09643349648615505,0.15211441033359227,0.13710041193737013,0.16681559773352522,14
100,0.36325064538261315,0.0864224571033926,0.2952463657993408,0.10926652829210647,0.08127355542486651,14
15,0.15642198529901177,0.10748570147371328,0.10794551351995886,0.157995988182536,0.12831130335518456,14
23,0.10902507587042251,0.2047140433752539,0.09288941614820323,0.2086380418275407,0.18648315309610655,14
25,0.11202522308730276,0.21607852631549335,0.0869402420890216,0.2563444809847947,0.13046758411361242,14
27,0.16378455203141018,0.20697027512306942,0.11516283393912073,0.2145247248848802,0.1689473998679271,14
29,0.11337098679075085,0.18578000299630118,0.09375265185339653,0.18786200088581312,0.10188866019558643,14
3,0.1804562731244676,0.15624515531219865,0.13682236599766448,0.20651305177150237,0.14090173552687416,14
31,0.06591526398021481,0.29738027611285656,0.059231312837963325,0.2966909424393211,0.1750514907895927,14
32,0.23058296506617268,0.0823246160458224,0.18349232889920036,0.12087075174192868,0.1663027164728347,14
33,0.2292876715961291,0.1183100410510776,0.1860684022146439,0.12493510911359766,0.1695452368166027,14
34,0.1773392162036366,0.13570772627487643,0.13983076738153222,0.17997858413917922,0.15142914383285275,14
36,0.1571098193078082,0.16628964050628223,0.12061210940611523,0.21894871200596208,0.1652791433923966,14
38,0.24025588046413063,0.09074409902112134,0.19951457150169744,0.12610181061401857,0.15705245518385727,14
41,0.3022410385280987,0.15398464205073936,0.2278144300029735,0.1881649438625107,0.14494925606451192,14
48,0.27713862971309183,0.09099302484378079,0.22211282231287066,0.12527678069055603,0.13605267368114482,14
49,0.2651896079753156,0.09619466650997996,0.2304809887996726,0.13047964082623031,0.14168814730744086,14
51,0.2949055352916172,0.09031432640790052,0.24572343743750238,0.12443645408980125,0.14982167734751375,14
52,0.22718338809905134,0.08288315016805824,0.19036441329406714,0.1285296404357288,0.17572121397162205,14
54,0.22544157688388253,0.18781003597875293,0.16955607002108466,0.19869188616431266,0.1872139964245537,14
55,0.15410770958622153,0.17124198354552406,0.11655566712642519,0.2294823051386572,0.2098526265613321,14
58,0.19487969514084502,0.1339112397456261,0.1543676956275197,0.1786230833680168,0.221609573190695,14
6,0.15675189731825176,0.12192812674842052,0.12308670333211838,0.15658800450382318,0.17375854938963808,14
61,0.04297308483054263,0.4169356094964293,0.031139789855545018,0.4952380078925132,0.15840485793987022,14
62,0.21780445046273475,0.09756750004251305,0.17079308081737218,0.13355027420700671,0.1524399095541315,14
7,0.14590751790224232,0.11771590207169076,0.11007402514215893,0.16117476370337816,0.1335404677300464,14
71,0.20675250313901405,0.11044832690573972,0.1601917367138114,0.15561508016986722,0.15909864470045126,14
78,0.08796374686988014,0.329050758834541,0.06734652776412524,0.3946827314679481,0.20903483675208692,14
79,0.36021186606688516,0.1097810892595712,0.2822756390479683,0.15583728713527373,0.1864094787578595,14
82,0.2837879729180425,0.07755644915650672,0.24344323479323524,0.1050458938577741,0.13263860603588137,14
84,0.26468469826683705,0.08622525186885402,0.2201071729647345,0.1288213443501314,0.16264625937414484,14
85,0.26272530674107997,0.07769263328277934,0.23012299928893076,0.0903350661835093,0.10812925460594132,14
88,0.26728070967141554,0.08143576771583179,0.23491465623708374,0.10927518210264996,0.1229515684555686,14
91,0.3078503346504248,0.08015787317968813,0.2668072042894084,0.10305744934429636,0.08621797473765096,14
92,0.3074059841300838,0.07363046498923477,0.27558759617721384,0.10630181678223499,0.1430350021564053,14
93,0.3043368460999324,0.07514388037464485,0.2697337428867166,0.10373257997480756,0.15406681509430337,14
94,0.4140483639316822,0.10567959802397557,0.3538273726887361,0.11421792749676736,0.12637707799310183,14
95,0.3183258865800723,0.0935647710755525,0.27098822816465623,0.11866853275074102,0.13513371540140715,14
98,0.32448233042071556,0.07868697818061463,0.28276155410496356,0.10598185331837659,0.15943472238993997,14
10,0.2924129806128869,0.08566703490756665,0.2599640802657461,0.08876570825657824,0.11191888371104064,22
11,0.2653290329769821,0.07134139923956412,0.23383599965907528,0.10278316992315356,0.20162238229368276,22
12,0.30104225563297726,0.09419172033628259,0.26174535465859833,0.11377879177529615,0.20219966296506534,22
13,0.2664585481459517,0.083824420035878755,0.2280795306996937,0.11932869446681971,0.1950138517190777,22
14,0.2921146125096803,0.08250316281245705,0.2533970489926447,0.11126737258968555,0.2113185884525766,22
16,0.26159067905214234,0.06925576695462546,0.2299003885983729,0.09873016704022931,0.16367039169405095,22
17,0.34004440875181513,0.06887721315078975,0.2971892979833215,0.09912280875259742,0.21579499688483522,22
18,0.28977287551394826,0.08549733025007984,0.25804152280018106,0.11271529559581653,0.25178490327803393,22
19,0.2760279783608729,0.08672283895969099,0.2412261836569769,0.11058448398768853,0.15985036140016481,22
2,0.29557153109475365,0.07636576215303877,0.2563725794924097,0.09921350896590722,0.12284729905677329,22
20,0.28150288301444987,0.07915355100257884,0.23931918865739613,0.10647098126841884,0.22803634033270506,22
21,0.24989144787940173,0.07899110373369304,0.22656537968359383,0.10215961227682545,0.16758201501441353,22
24,0.35371618650763,0.08427260505522435,0.3070179064876346,0.10808276180119748,0.21234936453732403,22
26,0.24890671137423306,0.09913440593527685,0.21215448093971592,0.13705897576511347,0.21521833014128222,22
28,0.28289407149155393,0.08494838183323733,0.2481007477921521,0.11157113583125174,0.2185005750271996,22
30,0.35722296866897024,0.06517566349709902,0.3058764381485173,0.0872371701183054,0.13008072547431146,22
35,0.255106472227433,0.08275376375312342,0.2333249859888262,0.10703513032937456,0.1305907766533231,22
37,0.32676608395765766,0.10001487505967989,0.27028044348664526,0.12795834742452142,0.27498338847928655,22
39,0.3357392229483054,0.07792498612355575,0.29326119464820394,0.11074085348653287,0.2565074542017454,22
4,0.3403762097112233,0.0657409567462826,0.30491170358686265,0.08716365455351728,0.17683152778611003,22
40,0.3298609042942213,0.08560701207463271,0.2861415275796178,0.10626807147831281,0.20072999657018184,22
42,0.25505419656866185,0.08573782463415854,0.22628375548448248,0.11535848422839405,0.20961691917757894,22
43,0.3666622735884973,0.0776122711218,0.3233506655694887,0.10136257408843428,0.2310812075689778,22
44,0.2928204468629677,0.09930058771548987,0.25865066435536893,0.08816535933028584,0.12817236218392786,22
