date_time,temp,lux
2020-08-08T14:46:20Z,7.882,301.4
2020-08-08T14:56:20Z,6.471,301.4
2020-08-08T15:06:20Z,7.381,301.4
2020-08-08T15:16:20Z,6.877,301.4
2020-08-08T15:26:20Z,6.877,301.4
2020-08-08T15:36:20Z,7.882,301.4
2020-08-08T15:46:20Z,6.573,301.4
2020-08-08T15:56:20Z,7.682,301.4
2020-08-08T16:06:20Z,6.573,301.4
2020-08-08T16:16:20Z,7.179,301.4
2020-08-08T16:26:20Z,7.381,301.4
2020-08-08T16:36:20Z,6.775,301.4
2020-08-08T16:46:20Z,7.983,301.4
2020-08-08T16:56:20Z,6.471,301.4
2020-08-08T17:06:20Z,7.582,301.4
2020-08-08T17:16:20Z,6.674,301.4
2020-08-08T17:26:20Z,7.179,301.4
2020-08-08T17:36:20Z,7.481,301.4
2020-08-08T17:46:20Z,6.775,301.4
2020-08-08T17:56:20Z,8.082,301.4
2020-08-08T18:06:20Z,6.573,301.4
2020-08-08T18:16:20Z,7.582,301.4
2020-08-08T18:26:20Z,6.775,301.4
2020-08-08T18:36:20Z,7.179,301.4
2020-08-08T18:46:20Z,7.682,301.4
2020-08-08T18:56:20Z,6.674,301.4
2020-08-08T19:06:20Z,7.983,301.4
2020-08-08T19:16:20Z,6.37,301.4
2020-08-08T19:26:20Z,7.381,301.4
2020-08-08T19:36:20Z,6.978,301.4
2020-08-08T19:46:20Z,6.978,301.4
2020-08-08T19:56:20Z,7.882,290.6
2020-08-08T20:06:20Z,6.573,301.4
2020-08-08T20:16:20Z,7.882,301.4
2020-08-08T20:26:20Z,6.573,301.4
2020-08-08T20:36:20Z,7.381,301.4
2020-08-08T20:46:20Z,7.179,301.4
2020-08-08T20:56:20Z,6.978,301.4
2020-08-08T21:06:20Z,7.983,301.4
2020-08-08T21:16:20Z,6.573,301.4
2020-08-08T21:26:20Z,7.882,301.4
2020-08-08T21:36:20Z,6.573,301.4
2020-08-08T21:46:20Z,7.381,301.4
2020-08-08T21:56:20Z,7.381,301.4
2020-08-08T22:06:20Z,6.978,301.4
2020-08-08T22:16:20Z,8.182,301.4
2020-08-08T22:26:20Z,6.674,301.4
2020-08-08T22:36:20Z,7.882,301.4
2020-08-08T22:46:20Z,6.775,301.4
2020-08-08T22:56:20Z,7.28,301.4
2020-08-08T23:06:20Z,7.582,290.6
2020-08-08T23:16:20Z,6.978,301.4
2020-08-08T23:26:20Z,8.182,301.4
2020-08-08T23:36:20Z,6.674,301.4
2020-08-08T23:46:20Z,7.682,301.4
2020-08-08T23:56:20Z,6.775,301.4
2020-08-09T00:06:20Z,7.179,301.4
2020-08-09T00:16:20Z,7.782,301.4
2020-08-09T00:26:20Z,6.775,301.4
2020-08-09T00:36:20Z,8.082,301.4
2020-08-09T00:46:20Z,6.674,301.4
2020-08-09T00:56:20Z,7.582,301.4
2020-08-09T01:06:20Z,7.079,301.4
2020-08-09T01:16:20Z,7.079,301.4
2020-08-09T01:26:20Z,7.882,301.4
2020-08-09T01:36:20Z,6.775,301.4
2020-08-09T01:46:20Z,8.082,301.4
2020-08-09T01:56:20Z,6.674,301.4
2020-08-09T02:06:20Z,7.582,301.4
2020-08-09T02:16:20Z,6.978,301.4
2020-08-09T02:26:20Z,7.179,301.4
2020-08-09T02:36:20Z,7.782,301.4
2020-08-09T02:46:20Z,6.978,301.4
2020-08-09T02:56:20Z,8.182,301.4
2020-08-09T03:06:20Z,6.674,301.4
2020-08-09T03:16:20Z,7.782,301.4
2020-08-09T03:26:20Z,6.775,301.4
2020-08-09T03:36:20Z,7.381,301.4
2020-08-09T03:46:20Z,7.481,301.4
2020-08-09T03:56:20Z,6.978,301.4
2020-08-09T04:06:20Z,7.983,0
2020-08-09T04:16:20Z,6.268,0
2020-08-09T04:26:20Z,7.079,0
2020-08-09T04:36:20Z,6.064,0
2020-08-09T04:46:20Z,6.166,0
2020-08-09T04:56:20Z,7.179,0
2020-08-09T05:06:20Z,5.45,0
2020-08-09T05:16:20Z,6.166,0
2020-08-09T05:26:20Z,6.674,0
2020-08-09T05:36:20Z,5.347,0
2020-08-09T05:46:20Z,6.268,0
2020-08-09T05:56:20Z,5.962,0
2020-08-09T06:06:20Z,5.347,0
2020-08-09T06:16:20Z,6.268,0
2020-08-09T06:26:20Z,5.45,0
2020-08-09T06:36:20Z,5.244,0
2020-08-09T06:46:20Z,6.268,0
2020-08-09T06:56:20Z,5.347,0
2020-08-09T07:06:20Z,5.244,0
2020-08-09T07:16:20Z,6.268,0
2020-08-09T07:26:20Z,5.244,0
2020-08-09T07:36:20Z,5.141,0
2020-08-09T07:46:20Z,6.166,0
2020-08-09T07:56:20Z,5.141,0
2020-08-09T08:06:20Z,5.141,0
2020-08-09T08:16:20Z,6.064,0
2020-08-09T08:26:20Z,5.347,0
2020-08-09T08:36:20Z,4.934,0
2020-08-09T08:46:20Z,5.86,0
2020-08-09T08:56:20Z,5.757,0
2020-08-09T09:06:20Z,4.727,0
2020-08-09T09:16:20Z,5.655,0
2020-08-09T09:26:20Z,6.064,0
2020-08-09T09:36:20Z,4.623,0
2020-08-09T09:46:20Z,5.45,0
2020-08-09T09:56:20Z,6.268,0
2020-08-09T10:06:20Z,4.623,322.9
2020-08-09T10:16:20Z,5.757,301.4
2020-08-09T10:26:20Z,6.775,301.4
2020-08-09T10:36:20Z,5.347,301.4
2020-08-09T10:46:20Z,6.573,301.4
2020-08-09T10:56:20Z,6.166,301.4
2020-08-09T11:06:20Z,5.962,301.4
2020-08-09T11:16:20Z,7.28,301.4
2020-08-09T11:26:20Z,5.757,301.4
2020-08-09T11:36:20Z,6.775,301.4
2020-08-09T11:46:20Z,6.573,301.4
2020-08-09T11:56:20Z,6.37,301.4
2020-08-09T12:06:20Z,7.582,301.4
2020-08-09T12:16:20Z,6.064,301.4
2020-08-09T12:26:20Z,7.179,301.4
2020-08-09T12:36:20Z,6.37,301.4
2020-08-09T12:46:20Z,6.775,301.4
2020-08-09T12:56:20Z,7.481,301.4
2020-08-09T13:06:20Z,6.37,301.4
2020-08-09T13:16:20Z,7.682,247.6
2020-08-09T13:26:20Z,6.573,290.6
2020-08-09T13:36:20Z,7.381,290.6
2020-08-09T13:46:20Z,6.978,290.6
2020-08-09T13:56:20Z,7.582,387.5
2020-08-09T14:06:20Z,7.381,387.5
2020-08-09T14:16:20Z,7.381,387.5
2020-08-09T14:26:20Z,7.983,387.5
2020-08-09T14:36:20Z,7.381,290.6
2020-08-09T14:46:20Z,8.282,387.5
2020-08-09T14:56:20Z,7.381,387.5
2020-08-09T15:06:20Z,8.581,387.5
2020-08-09T15:16:20Z,7.28,387.5
2020-08-09T15:26:20Z,8.481,387.5
2020-08-09T15:36:20Z,7.28,387.5
2020-08-09T15:46:20Z,8.282,387.5
2020-08-09T15:56:20Z,7.179,387.5
2020-08-09T16:06:20Z,7.882,387.5
2020-08-09T16:16:20Z,7.582,387.5
2020-08-09T16:26:20Z,7.682,387.5
2020-08-09T16:36:20Z,7.983,387.5
2020-08-09T16:46:20Z,7.582,387.5
2020-08-09T16:56:20Z,8.282,387.5
2020-08-09T17:06:20Z,7.381,387.5
2020-08-09T17:16:20Z,8.581,387.5
2020-08-09T17:26:20Z,7.28,387.5
2020-08-09T17:36:20Z,8.68,473.6
2020-08-09T17:46:20Z,8.082,462.9
2020-08-09T17:56:20Z,9.669,462.9
2020-08-09T18:06:20Z,8.879,462.9
2020-08-09T18:16:20Z,10.259,462.9
2020-08-09T18:26:20Z,9.077,366
2020-08-09T18:36:20Z,10.357,226
2020-08-09T18:46:20Z,8.779,226
2020-08-09T18:56:20Z,9.866,226
2020-08-09T19:06:20Z,8.382,236.8
2020-08-09T19:16:20Z,9.571,236.8
2020-08-09T19:26:20Z,8.082,236.8
2020-08-09T19:36:20Z,9.373,236.8
2020-08-09T19:46:20Z,7.882,236.8
2020-08-09T19:56:20Z,9.077,236.8
2020-08-09T20:06:20Z,7.782,226
2020-08-09T20:16:20Z,8.879,236.8
2020-08-09T20:26:20Z,7.682,226
2020-08-09T20:36:20Z,8.68,236.8
2020-08-09T20:46:20Z,7.582,236.8
2020-08-09T20:56:20Z,8.481,236.8
2020-08-09T21:06:20Z,7.682,236.8
2020-08-09T21:16:20Z,8.282,236.8
2020-08-09T21:26:20Z,7.882,236.8
2020-08-09T21:36:20Z,8.182,236.8
2020-08-09T21:46:20Z,7.983,236.8
2020-08-09T21:56:20Z,7.882,236.8
2020-08-09T22:06:20Z,8.082,236.8
2020-08-09T22:16:20Z,7.682,236.8
2020-08-09T22:26:20Z,8.382,236.8
2020-08-09T22:36:20Z,7.582,236.8
2020-08-09T22:46:20Z,8.481,236.8
2020-08-09T22:56:20Z,7.381,236.8
2020-08-09T23:06:20Z,8.581,236.8
2020-08-09T23:16:20Z,7.28,236.8
2020-08-09T23:26:20Z,8.581,236.8
2020-08-09T23:36:20Z,7.079,236.8
2020-08-09T23:46:20Z,8.481,236.8
2020-08-09T23:56:20Z,7.079,236.8
2020-08-10T00:06:20Z,8.282,236.8
2020-08-10T00:16:20Z,7.079,236.8
2020-08-10T00:26:20Z,8.182,236.8
2020-08-10T00:36:20Z,7.179,236.8
2020-08-10T00:46:20Z,7.983,236.8
2020-08-10T00:56:20Z,7.28,236.8
2020-08-10T01:06:20Z,7.782,236.8
2020-08-10T01:16:20Z,7.582,236.8
2020-08-10T01:26:20Z,7.682,236.8
2020-08-10T01:36:20Z,7.882,236.8
2020-08-10T01:46:20Z,7.582,236.8
2020-08-10T01:56:20Z,8.082,236.8
2020-08-10T02:06:20Z,7.381,236.8
2020-08-10T02:16:20Z,8.282,236.8
2020-08-10T02:26:20Z,7.28,236.8
2020-08-10T02:36:20Z,8.481,236.8
2020-08-10T02:46:20Z,7.179,236.8
2020-08-10T02:56:20Z,8.481,236.8
2020-08-10T03:06:20Z,7.079,236.8
2020-08-10T03:16:20Z,8.382,236.8
2020-08-10T03:26:20Z,6.978,236.8
2020-08-10T03:36:20Z,8.182,236.8
2020-08-10T03:46:20Z,6.978,236.8
2020-08-10T03:56:20Z,7.882,236.8
2020-08-10T04:06:20Z,7.079,0
2020-08-10T04:16:20Z,7.28,0
2020-08-10T04:26:20Z,7.28,0
2020-08-10T04:36:20Z,6.471,0
2020-08-10T04:46:20Z,7.582,0
2020-08-10T04:56:20Z,5.962,0
2020-08-10T05:06:20Z,6.775,0
2020-08-10T05:16:20Z,6.268,0
2020-08-10T05:26:20Z,5.962,0
2020-08-10T05:36:20Z,7.179,0
2020-08-10T05:46:20Z,5.45,0
2020-08-10T05:56:20Z,6.268,0
2020-08-10T06:06:20Z,6.471,0
2020-08-10T06:16:20Z,5.552,0
2020-08-10T06:26:20Z,6.674,0
2020-08-10T06:36:20Z,5.45,0
2020-08-10T06:46:20Z,5.757,0
2020-08-10T06:56:20Z,6.877,0
2020-08-10T07:06:20Z,5.141,0
2020-08-10T07:16:20Z,5.962,0
2020-08-10T07:26:20Z,6.471,0
2020-08-10T07:36:20Z,5.141,0
2020-08-10T07:46:20Z,6.064,0
2020-08-10T07:56:20Z,5.86,0
2020-08-10T08:06:20Z,5.141,0
2020-08-10T08:16:20Z,6.268,0
2020-08-10T08:26:20Z,5.244,0
2020-08-10T08:36:20Z,5.347,0
2020-08-10T08:46:20Z,6.37,0
2020-08-10T08:56:20Z,4.934,0
2020-08-10T09:06:20Z,5.347,0
2020-08-10T09:16:20Z,6.471,0
2020-08-10T09:26:20Z,4.831,0
2020-08-10T09:36:20Z,5.655,0
2020-08-10T09:46:20Z,6.37,0
2020-08-10T09:56:20Z,5.552,0
2020-08-10T10:06:20Z,7.179,656.6
2020-08-10T10:16:20Z,7.079,624.3
2020-08-10T10:26:20Z,8.082,613.5
2020-08-10T10:36:20Z,8.581,419.8
2020-08-10T10:46:20Z,13.076,333.7
2020-08-10T10:56:20Z,13.942,215.3
2020-08-10T11:06:20Z,13.846,236.8
2020-08-10T11:16:20Z,13.846,236.8
2020-08-10T11:26:20Z,15.951,376.7
2020-08-10T11:36:20Z,14.709,366
2020-08-10T11:46:20Z,13.846,355.2
2020-08-10T11:56:20Z,13.75,355.2
2020-08-10T12:06:20Z,13.461,355.2
2020-08-10T12:16:20Z,13.558,355.2
2020-08-10T12:26:20Z,13.461,355.2
2020-08-10T12:36:20Z,13.75,355.2
2020-08-10T12:46:20Z,13.558,355.2
2020-08-10T12:56:20Z,13.942,355.2
2020-08-10T13:06:20Z,13.75,355.2
2020-08-10T13:16:20Z,14.134,355.2
2020-08-10T13:26:20Z,13.846,355.2
2020-08-10T13:36:20Z,14.23,355.2
2020-08-10T13:46:20Z,13.846,355.2
2020-08-10T13:56:20Z,14.134,355.2
2020-08-10T14:06:20Z,13.75,355.2
2020-08-10T14:16:20Z,14.709,344.4
2020-08-10T14:26:20Z,14.23,344.4
2020-08-10T14:36:20Z,14.325,355.2
2020-08-10T14:46:20Z,13.75,355.2
2020-08-10T14:56:20Z,14.038,344.4
2020-08-10T15:06:20Z,13.654,355.2
2020-08-10T15:16:20Z,13.942,355.2
2020-08-10T15:26:20Z,13.558,355.2
2020-08-10T15:36:20Z,13.942,344.4
2020-08-10T15:46:20Z,13.558,355.2
2020-08-10T15:56:20Z,13.846,355.2
2020-08-10T16:06:20Z,13.461,355.2
2020-08-10T16:16:20Z,13.75,355.2
2020-08-10T16:26:20Z,13.846,355.2
2020-08-10T16:36:20Z,14.038,355.2
2020-08-10T16:46:20Z,13.654,355.2
2020-08-10T16:56:20Z,13.654,355.2
2020-08-10T17:06:20Z,13.461,355.2
2020-08-10T17:16:20Z,13.942,355.2
2020-08-10T17:26:20Z,13.558,355.2
2020-08-10T17:36:20Z,13.654,355.2
2020-08-10T17:46:20Z,13.365,355.2
2020-08-10T17:56:20Z,13.365,355.2
2020-08-10T18:06:20Z,13.365,355.2
2020-08-10T18:16:20Z,13.269,355.2
2020-08-10T18:26:20Z,13.365,355.2
2020-08-10T18:36:20Z,13.173,355.2
2020-08-10T18:46:20Z,13.269,355.2
2020-08-10T18:56:20Z,13.173,355.2
2020-08-10T19:06:20Z,13.269,355.2
2020-08-10T19:16:20Z,13.076,355.2
2020-08-10T19:26:20Z,13.461,355.2
2020-08-10T19:36:20Z,13.654,355.2
2020-08-10T19:46:20Z,13.846,355.2
2020-08-10T19:56:20Z,13.365,355.2
2020-08-10T20:06:20Z,13.461,355.2
2020-08-10T20:16:20Z,13.173,355.2
2020-08-10T20:26:20Z,13.365,355.2
2020-08-10T20:36:20Z,12.98,355.2
2020-08-10T20:46:20Z,13.269,355.2
2020-08-10T20:56:20Z,12.98,355.2
2020-08-10T21:06:20Z,13.173,355.2
2020-08-10T21:16:20Z,12.883,355.2
2020-08-10T21:26:20Z,13.076,355.2
2020-08-10T21:36:20Z,12.883,355.2
2020-08-10T21:46:20Z,12.98,355.2
2020-08-10T21:56:20Z,12.883,355.2
2020-08-10T22:06:20Z,12.787,355.2
2020-08-10T22:16:20Z,12.883,355.2
2020-08-10T22:26:20Z,12.787,355.2
2020-08-10T22:36:20Z,12.883,355.2
2020-08-10T22:46:20Z,12.69,355.2
2020-08-10T22:56:20Z,12.883,355.2
2020-08-10T23:06:20Z,12.594,355.2
2020-08-10T23:16:20Z,12.883,355.2
2020-08-10T23:26:20Z,12.594,355.2
2020-08-10T23:36:20Z,12.883,355.2
2020-08-10T23:46:20Z,12.594,355.2
2020-08-10T23:56:20Z,12.883,355.2
2020-08-11T00:06:20Z,12.594,355.2
2020-08-11T00:16:20Z,12.883,355.2
2020-08-11T00:26:20Z,12.497,355.2
2020-08-11T00:36:20Z,12.883,355.2
2020-08-11T00:46:20Z,12.497,355.2
2020-08-11T00:56:20Z,12.787,355.2
2020-08-11T01:06:20Z,12.497,355.2
2020-08-11T01:16:20Z,12.787,355.2
2020-08-11T01:26:20Z,12.497,355.2
2020-08-11T01:36:20Z,12.69,355.2
2020-08-11T01:46:20Z,12.401,355.2
2020-08-11T01:56:20Z,12.594,355.2
2020-08-11T02:06:20Z,12.401,355.2
2020-08-11T02:16:20Z,12.594,355.2
2020-08-11T02:26:20Z,12.401,355.2
2020-08-11T02:36:20Z,12.497,355.2
2020-08-11T02:46:20Z,12.401,355.2
2020-08-11T02:56:20Z,12.497,355.2
2020-08-11T03:06:20Z,12.401,355.2
2020-08-11T03:16:20Z,12.497,355.2
2020-08-11T03:26:20Z,12.401,355.2
2020-08-11T03:36:20Z,12.497,355.2
2020-08-11T03:46:20Z,12.401,355.2
2020-08-11T03:56:20Z,12.497,355.2
2020-08-11T04:06:20Z,12.207,0
2020-08-11T04:16:20Z,11.819,0
2020-08-11T04:26:20Z,11.528,0
2020-08-11T04:36:20Z,11.334,0
2020-08-11T04:46:20Z,11.139,0
2020-08-11T04:56:20Z,11.139,0
2020-08-11T05:06:20Z,11.041,0
2020-08-11T05:16:20Z,10.944,0
2020-08-11T05:26:20Z,10.846,0
2020-08-11T05:36:20Z,10.846,0
2020-08-11T05:46:20Z,10.748,0
2020-08-11T05:56:20Z,10.846,0
2020-08-11T06:06:20Z,10.651,0
2020-08-11T06:16:20Z,10.748,0
2020-08-11T06:26:20Z,10.553,0
2020-08-11T06:36:20Z,10.651,0
2020-08-11T06:46:20Z,10.455,0
2020-08-11T06:56:20Z,10.651,0
2020-08-11T07:06:20Z,10.357,0
2020-08-11T07:16:20Z,10.553,0
2020-08-11T07:26:20Z,10.259,0
2020-08-11T07:36:20Z,10.553,0
2020-08-11T07:46:20Z,10.161,0
2020-08-11T07:56:20Z,10.455,0
2020-08-11T08:06:20Z,10.161,0
2020-08-11T08:16:20Z,10.357,0
2020-08-11T08:26:20Z,10.161,0
2020-08-11T08:36:20Z,10.259,0
2020-08-11T08:46:20Z,10.161,0
2020-08-11T08:56:20Z,10.063,0
2020-08-11T09:06:20Z,10.455,0
2020-08-11T09:16:20Z,10.455,0
2020-08-11T09:26:20Z,10.357,0
