day,body_size,bootstrap,algae_conc2,wt,nt,wt_day0,nt_day0,Pd,g,gd
14,2.786968954248366,1,0.002,0.024181336480323317,9,0.03051604672305966,17.666666666666668,-0.006033057374034611,-0.006334710242736342,-4.5247930305259586e-4
14,2.8182444852941178,1,0.00390625,0.024877573678967365,8,0.03051604672305966,17.666666666666668,-0.005168600290417936,-0.005638473044092294,-4.02748074578021e-4
14,2.835944160272805,1,0.0078125,0.025277450848898195,12,0.03051604672305966,17.666666666666668,-0.005550417057147266,-0.005238595874161464,-3.741854195829617e-4
14,2.8573529411764707,1,0.015625,0.02576682312851689,14,0.03051604672305966,17.666666666666668,-0.005371145731923371,-0.0047492235945427695,-3.3923025675305495e-4
14,2.9195261437908497,1,0.03125,0.027223729100834617,8,0.03051604672305966,17.666666666666668,-0.0030179578203729553,-0.003292317622225042,-2.3516554444464585e-4
14,2.866498161764706,1,0.0625,0.025977779681141646,9,0.03051604672305966,17.666666666666668,-0.004322159087540965,-0.004538267041918013,-3.2416193156557235e-4
14,3.1107843137254902,1,0.125,0.03204771849973567,12.5,0.03051604672305966,17.666666666666668,0.001650193997490229,0.0015316717766760135,1.0940512690542954e-4
14,2.963554987212276,1,0.25,0.028288005362127205,13.5,0.03051604672305966,17.666666666666668,-0.0024800222291331483,-0.002228041360932454,-1.591458114951753e-4
14,3.2544757033248084,1,0.5,0.03602476230420345,12,0.03051604672305966,17.666666666666668,0.0058366153181166345,0.00550871558114379,3.9347968436741356e-4
14,3.4072817161052456,1,1,0.04060119672481593,19.5,0.03051604672305966,17.666666666666668,0.013386836014236002,0.01008515000175627,7.20367857268305e-4
22,3.036764705882353,1,0.002,0.03011843773615385,10.333333333333334,0.03051604672305966,17.666666666666668,-2.530239007582413e-4,-3.9760898690580776e-4,-1.8073135768445807e-5
22,3.2965686274509802,1,0.00390625,0.03724912358693747,9,0.03051604672305966,17.666666666666668,0.004080652644774433,0.006733076863877814,3.0604894835808245e-4
22,3.1801470588235294,1,0.0078125,0.033928813201488967,7.333333333333333,0.03051604672305966,17.666666666666668,0.0019390718627439248,0.0034127664784293077,1.55125749019514e-4
22,3.1875360438292963,1,0.015625,0.034133431767887544,11.666666666666666,0.03051604672305966,17.666666666666668,0.002411590029885257,0.003617385044827885,1.6442659294672206e-4
22,2.957234617985125,1,0.03125,0.028133552712424136,10,0.03051604672305966,17.666666666666668,-0.001498083355172336,-0.0023824940106355226,-1.0829518230161466e-4
22,3.294311145510836,1,0.0625,0.03718276653980388,13.333333333333334,0.03051604672305966,17.666666666666668,0.004697007143615248,0.006666719816744222,3.030327189429192e-4
22,3.299064996368918,1,0.125,0.03732259441256467,10,0.03051604672305966,17.666666666666668,0.004279874683552394,0.006806547689505012,3.093885313411369e-4
22,3.369813041495668,1,0.25,0.039445165878624996,14.333333333333334,0.03051604672305966,17.666666666666668,0.006493904840411155,0.008929119155565338,4.0586905252569717e-4
22,3.7784002489884845,1,0.5,0.05329379959674225,14.666666666666666,0.03051604672305966,17.666666666666668,0.016738197187478873,0.02277775287368259,0.0010353524033492087
22,3.5498366013071894,1,1,0.045205762952384494,14.666666666666666,0.03051604672305966,17.666666666666668,0.010794715713973555,0.014689716229324835,6.677143740602198e-4
14,2.86968954248366,2,0.002,0.02605166668517505,9,0.026115091946243105,17.666666666666668,-6.040501054100473e-5,-6.342526106805496e-5,-4.530375790575354e-6
14,2.688419117647059,2,0.00390625,0.022072652281761505,8,0.026115091946243105,17.666666666666668,-0.003705569692441467,-0.0040424396644816,-2.887456903201143e-4
14,2.790920716112532,2,0.0078125,0.024268581907004174,12,0.026115091946243105,17.666666666666668,-0.0019564213510983907,-0.0018465100392389307,-1.318935742313522e-4
14,2.972058823529412,2,0.015625,0.02849670653496592,14,0.026115091946243105,17.666666666666668,0.0026934926896269923,0.002381614588722814,1.701153277659153e-4
14,2.956699346405229,2,0.03125,0.028120498013892388,8,0.026115091946243105,17.666666666666668,0.0018382888953451765,0.0020054060676492833,1.432432905463774e-4
14,2.9963235294117645,2,0.0625,0.029097848928157293,9,0.026115091946243105,17.666666666666668,0.00284072093515637,0.0029827569819141884,2.1305407013672773e-4
14,2.904656862745098,2,0.125,0.02687042914463822,12.5,0.026115091946243105,17.666666666666668,8.13785910175689e-4,7.553371983951146e-4,5.395265702822247e-5
