day,midge,algae_conc2,n,mean_pp,sd_pp,mean_sp,sd_sp,Bt,mean_gdc,sd_gdc,unique_id
14,Midges,0.002,5,4.290407901947393,0.9776809509873478,-8.711136365436769e-5,0.0024760410516583863,0.2107873225599266,-0.004618154589200163,0.13126577137666984,1
14,Midges,0.00390625,5,4.446827700839026,0.12103017055490997,-7.944997773205162e-4,0.002701441295898594,0.17859852379993577,-0.0437609454026878,0.14879503863056887,2
14,Midges,0.0078125,5,4.755604830947814,0.39499799743927116,0.001480951928698623,0.0027138821313243576,0.30631377387770026,0.07057235274551639,0.12932563398589028,3
14,Midges,0.015625,5,5.7737107244241095,0.6470767137840249,0.003449133867937046,0.003022128568921678,0.3900626693541153,0.15398204618972988,0.13491895609413726,4
14,Midges,0.03125,5,5.8816660097652695,0.5883762016014047,0.002115531660534418,0.0023501746945347466,0.2145021749193206,0.1165232113802803,0.12944731947083174,5
14,Midges,0.0625,5,7.01144877283267,0.9465263512638696,0.003130046032560949,0.003022020863908154,0.25376733173094657,0.16593743735929162,0.16021055044770077,6
14,Midges,0.125,5,7.197842421845903,1.1432534236163512,0.0050604318284985135,0.0026960201337475525,0.3773789309929853,0.23714973332755698,0.1263450388093978,7
14,Midges,0.25,5,7.253760083191716,1.0374666045628282,0.005157386817778962,0.0029777176924131376,0.40635540645828355,0.23393851900443374,0.13506895867787994,8
14,Midges,0.5,5,15.78099041135303,1.4378676745539865,0.009956107077495325,0.002904197324276674,0.44201399933415664,0.47444207136592226,0.13839479461804144,9
14,Midges,1,5,16.62362775212016,1.496295722161829,0.015143441625527046,0.004305214254382547,0.7737312555183242,0.5760144277767641,0.16375838376226598,10
22,Midges,0.002,3,7.081674908755066,1.935218386222934,0.005126031905069977,0.0018122045744542483,0.3610247884761461,0.258812745670201,0.09149799500208133,11
22,Midges,0.00390625,3,5.829848727228642,1.718351033960089,0.005186288011661311,0.0015757690320180226,0.32083043536366157,0.2749478228466073,0.08353841199877325,12
22,Midges,0.0078125,3,5.803323575953037,1.4374608893730967,0.0038636561212999775,0.0015476701729101947,0.2431985939248245,0.21848460636011838,0.08751868641710482,13
22,Midges,0.015625,3,7.940826288731828,1.5200869210890118,0.005714173750956496,0.001783648465883726,0.41612032214050787,0.2753939599364745,0.08596273679499403,14
22,Midges,0.03125,3,10.266079592066136,2.397561038710277,0.002476638028671232,0.0016197329217938613,0.29118398060563544,0.12655172987037078,0.0827654266824689,15
22,Midges,0.0625,3,6.970205246797471,3.268142089177428,0.006779915977366612,0.001733829449006019,0.49539291097548993,0.30918969038396626,0.07906914957447504,16
22,Midges,0.125,3,8.614470121351879,1.9087640457104145,0.006087898983811376,0.0016553606743305467,0.3723767018923484,0.31108064188562756,0.08458594048493606,17
22,Midges,0.25,3,6.137361416440633,1.5945208923032161,0.008634116537131295,0.0017843036131880209,0.5781155015289235,0.3814435839837631,0.07882811891669826,18
22,Midges,0.5,3,17.68028582435155,3.921463699574381,0.015244060785874043,0.002019537359381684,0.7755287608357466,0.6665190686319638,0.0883006292581742,19
22,Midges,1,3,11.430049516588092,2.188352054452421,0.01171366100787051,0.0021175907191898612,0.6759148725931313,0.5121587046196466,0.09258783559863579,20
