sampledate,falc_id,tray_weight,vol,ww_tray,dw_tray,comb_tray,ww,dw,comb,org,percentorg,comments
2017-08-06,17,1156.2,1,8370.7,7214.5,1282.8,1254.2,126.6,98,28.6,22.59083728,
2017-08-06,18,1151.5,1,8412.3,7260.8,1304.6,1270.7,153.1,119.2,33.9,22.14239059,
2017-08-07,19,1148.4,1,8532.1,7383.7,1273.3,1245,124.9,96.6,28.3,22.6581265,
2017-08-07,20,1109.8,1,7173.8,6064,1209.8,1187,100,77.2,22.8,22.8,
2017-08-07,21,1148,1,8125.5,6977.5,1292.6,1260,144.6,112,32.6,22.54495159,
2017-08-07,22,1118.2,1,11580.3,10462.1,1230.3,1204.4,112.1,86.2,25.9,23.1043711,
2017-08-07,23,1120.6,1,7110,5989.4,1238.5,1213.1,117.9,92.5,25.4,21.54368109,
2017-08-07,24,1150.4,1,8494.7,7344.3,1298.8,1264.1,148.4,113.7,34.7,23.38274933,
2017-08-07,25,1134.1,1,7513.9,6379.8,1234.6,1210.3,100.5,76.2,24.3,24.17910448,
2017-08-07,26,1153.9,1,7145.7,5991.8,1264,1237.5,110.1,83.6,26.5,24.06902816,
2017-08-07,27,1144.5,1,8726.4,7581.9,1278.2,1249.4,133.7,104.9,28.8,21.5407629,
2017-08-07,28,1151.6,1,7454.3,6302.7,1234.8,1216.6,83.2,65,18.2,21.875,
2017-08-07,29,1135.2,1,8023.3,6888.1,1242.5,1219.5,107.3,84.3,23,21.43522833,
2017-08-07,30,1179.8,1,8093.4,6913.6,1261.4,1243.1,81.6,63.3,18.3,22.42647059,
2017-08-07,31,1152.9,1,7924.7,6771.8,1280.8,1253,127.9,100.1,27.8,21.73573104,
2017-08-07,32,1128.9,1,7002.3,5873.4,1208,1189.1,79.1,60.2,18.9,23.89380531,
2017-08-07,33,1162.7,1,9111.5,7948.8,1296.9,1267.5,134.2,104.8,29.4,21.9076006,
2017-08-07,34,1157.9,1,6750.9,5593,1243.2,1223.6,85.3,65.7,19.6,22.97772567,
2017-08-07,35,1162.6,1,4774.3,3611.7,1257.8,1237.4,95.2,74.8,20.4,21.42857143,
2017-08-07,36,1160,1,5438.8,4278.8,1234.2,1216.8,74.2,56.8,17.4,23.45013477,
2017-08-06,37,1146,1,5709.7,4563.7,1241,1221.5,95,75.5,19.5,20.52631579,
2017-08-06,38,1140.9,1,5766.2,4625.3,1218.7,1201.1,77.8,60.2,17.6,22.62210797,
2017-08-06,39,1162.9,1,8391.7,7228.8,1290,1264,127.1,101.1,26,20.4563336,
2017-08-06,40,1153.1,1,8008.5,6855.4,1266.6,1242.1,113.5,89,24.5,21.58590308,
