sampledate,Time,hour,temp,lux,time
6/14/13,18:30,18,NA,13777.9,18.50
6/14/13,18:45,18,NA,28933.5,18.75
6/14/13,19:00,19,NA,85422.8,19.00
6/14/13,19:15,19,NA,49600.3,19.25
6/14/13,19:30,19,NA,14466.8,19.50
6/14/13,19:45,19,NA,18600.1,19.75
6/14/13,20:00,20,NA,20666.8,20.00
6/14/13,20:15,20,NA,39955.8,20.25
6/14/13,20:30,20,NA,8266.7,20.50
6/14/13,20:45,20,NA,46844.8,20.75
6/14/13,21:00,21,NA,28933.5,21.00
6/14/13,21:15,21,NA,20666.8,21.25
6/14/13,21:30,21,NA,27555.7,21.50
6/14/13,21:45,21,NA,19289,21.75
6/14/13,22:00,22,NA,18600.1,22.00
6/14/13,22:15,22,NA,4822.3,22.25
6/14/13,22:30,22,NA,3788.9,22.50
6/14/13,22:45,22,NA,5166.7,22.75
6/14/13,23:00,23,NA,6544.5,23.00
6/14/13,23:15,23,NA,8266.7,23.25
6/14/13,23:30,23,NA,3100,23.50
6/14/13,23:45,23,NA,1463.9,23.75
6/15/13,0:00,0,NA,1205.6,0.00
6/15/13,0:15,0,NA,1065.6,0.25
6/15/13,0:30,0,NA,914.9,0.50
6/15/13,0:45,0,NA,947.2,0.75
6/15/13,1:00,1,NA,893.4,1.00
6/15/13,1:15,1,NA,871.9,1.25
6/15/13,1:30,1,NA,1001,1.50
6/15/13,1:45,1,NA,947.2,1.75
6/15/13,2:00,2,NA,742.7,2.00
6/15/13,2:15,2,NA,914.9,2.25
6/15/13,2:30,2,NA,1130.2,2.50
6/15/13,2:45,2,NA,1377.8,2.75
6/15/13,3:00,3,NA,2152.8,3.00
6/15/13,3:15,3,NA,2755.6,3.25
6/15/13,3:30,3,NA,3100,3.50
6/15/13,3:45,3,NA,3961.1,3.75
6/15/13,4:00,4,NA,5338.9,4.00
6/15/13,4:15,4,NA,9300.1,4.25
6/15/13,4:30,4,NA,10333.4,4.50
6/15/13,4:45,4,NA,12400.1,4.75
6/15/13,5:00,5,NA,13777.9,5.00
6/15/13,5:15,5,NA,17222.3,5.25
6/15/13,5:30,5,NA,13777.9,5.50
6/15/13,5:45,5,NA,16533.4,5.75
6/15/13,6:00,6,NA,77156.1,6.00
6/15/13,6:15,6,NA,35822.5,6.25
6/15/13,6:30,6,NA,110223,6.50
6/15/13,6:45,6,NA,110223,6.75
6/15/13,7:00,7,NA,115734.1,7.00
6/15/13,7:15,7,NA,126756.4,7.25
6/15/13,7:30,7,NA,132267.5,7.50
6/15/13,7:45,7,NA,137778.7,7.75
6/15/13,8:00,8,NA,165334.4,8.00
6/15/13,8:15,8,NA,176356.7,8.25
6/15/13,8:30,8,NA,187379,8.50
6/15/13,8:45,8,NA,170845.6,8.75
6/15/13,9:00,9,NA,68889.3,9.00
6/15/13,9:15,9,NA,60622.6,9.25
6/15/13,9:30,9,NA,82667.2,9.50
6/15/13,9:45,9,NA,79911.6,9.75
