algae,algae_conc,detritus_conc
T1,1,0
T2,0.5,0.5
T3,0.25,0.75
T4,0.125,0.875
T5,0.0625,0.9375
T6,0.03125,0.96875
T7,0.015625,0.984375
T8,0.0078125,0.9921875
T9,0.00390625,0.99609375
T10,0,1
