coreid,dark_light,date_start,time_start,barom_pres_init,wtemp_init,o2sat_init,do_init,probe_init,water_added_init,column_vol,date_end,time_end,barom_pres_final,wtemp_final,o2sat_final,do_final,probe_final,water_added_final,flag,comments
2,dark,2020-08-28,21:10,740.3,14.9,141.9,13.95,Hermione,8,40,2020-08-29,9:36,740.7,8.1999999999999993,86.5,9.91,Hermione,"NA",NA,May have tipped over during incubation.
4,dark,2020-08-28,21:10,740.3,15.1,153.1,15.01,Harry,8,40,2020-08-29,9:36,740.7,12.1,97.1,10.15,Harry,"NA",NA,NA
5,dark,2020-08-28,21:18,740.3,15.1,175.7,17.21,Hermione,6,40,2020-08-29,9:40,740.7,10,107.7,11.86,Hermione,"NA",NA,NA
8,dark,2020-08-28,21:15,740.3,15.2,129,12.62,Harry,8,40,2020-08-29,9:40,740.7,10.8,88.2,9.52,Harry,"NA",NA,NA
9,dark,2020-08-28,21:20,740.3,15.1,196.9,19.28,Hermione,6,40,2020-08-29,9:42,740.7,11.1,113,12.11,Hermione,"NA",NA,NA
10,dark,2020-08-28,21:25,740.3,15.5,137,13.3,Hermione,6,40,2020-08-29,9:42,740.7,11.7,84.9,8.9499999999999993,Harry,"NA",NA,NA
11,dark,2020-08-28,21:20,740.3,15.3,103.5,10.1,Harry,6,40,2020-08-29,9:49,740.7,12.8,73.7,7.59,Hermione,"NA",NA,Shaken slightly during transport to probe.
12,dark,2020-08-28,21:30,740.3,15.6,116.2,11.26,Hermione,5,40,2020-08-29,9:49,740.7,13.4,75.3,7.65,Harry,"NA",NA,NA
13,dark,2020-08-28,21:25,740.3,15.7,103.3,10,Harry,7,40,2020-08-29,9:51,740.7,12.2,69.5,7.25,Hermione,"NA",NA,NA
14,dark,2020-08-28,21:30,740.3,15.5,128.3,12.47,Harry,6,40,2020-08-29,9:51,740.7,12.2,90.1,9.43,Harry,"NA",NA,NA
16,dark,2020-08-28,21:34,740.3,14.4,102.5,9.96,Hermione,5,40,2020-08-29,9:53,740.7,13,79.599999999999994,8.15,Harry,"NA",NA,NA
17,dark,2020-08-28,21:34,740.3,15.3,131.5,12.85,Harry,7,40,2020-08-29,9:53,740.7,12.5,88.1,9.16,Hermione,"NA",NA,NA
18,dark,2020-08-28,21:38,740.3,15.4,103.9,10.12,Hermione,5,40,2020-08-29,9:57,740.7,12.8,75.7,7.78,Hermione,"NA",NA,NA
19,dark,2020-08-28,21:39,740.3,15.4,104.5,10.18,Harry,7,40,2020-08-29,9:57,740.7,13.3,73.7,7.52,Harry,"NA",NA,NA
20,dark,2020-08-28,21:42,740.3,15.4,111.7,10.88,Hermione,5,40,2020-08-29,10:00,740.7,13.2,81.900000000000006,8.3699999999999992,Hermione,"NA",NA,NA
21,dark,2020-08-28,21:42,740.3,14.8,99.3,9.8,Harry,7,40,2020-08-29,10:00,740.7,13.5,71.8,7.29,Harry,"NA",NA,NA
24,dark,2020-08-28,21:46,740.3,14.4,118.9,11.84,Harry,6,40,2020-08-29,10:01,740.7,13.3,89.2,9.1,Hermione,"NA",NA,NA
26,dark,2020-08-28,21:46,740.3,15,84.5,8.3,Hermione,5,40,2020-08-29,10:01,740.7,13.3,62,6.33,Harry,"NA",NA,NA
28,dark,2020-08-28,21:50,740.3,14.6,91.8,9.09,Hermione,5,40,2020-08-29,10:04,740.7,13.7,78.099999999999994,7.89,Hermione,"NA",NA,NA
30,dark,2020-08-28,21:50,740.3,14.9,142.6,14.01,Harry,6,40,2020-08-29,10:04,740.7,14,97.5,9.81,Harry,"NA",NA,NA
35,dark,2020-08-28,21:54,740.3,13.9,91.9,9.25,Hermione,6,40,2020-08-29,10:06,740.7,14.2,74.400000000000006,7.42,Hermione,"NA",NA,NA
37,dark,2020-08-28,21:4,740.3,13.5,124.3,12.63,Harry,6,40,2020-08-29,10:06,740.7,14.3,93.3,9.2799999999999994,Harry,"NA",NA,NA
39,dark,2020-08-28,21:59,740.3,13.8,136.5,13.77,Hermione,5,40,2020-08-29,10:09,740.7,14.3,93.3,9.31,Hermione,"NA",NA,NA
40,dark,2020-08-28,21:59,740.3,13.4,146.5,14.91,Harry,7,40,2020-08-29,10:09,740.7,14.5,102.9,10.23,Harry,"NA",NA,NA
42,dark,2020-08-28,22:02,740.3,14,109.1,10.93,Hermione,5,40,2020-08-29,10:12,740.7,14.6,83.2,8.24,Hermione,"NA",NA,lost tape
43,dark,2020-08-28,22:02,740.3,15.4,166.7,16.31,Harry,8,40,2020-08-29,10:12,740.7,11.2,103.1,11.03,Harry,"NA",NA,NA
44,dark,2020-08-28,22:08,740.3,15.6,125.8,12.2,Hermione,5,40,2020-08-29,10:14,740.7,11.3,91.8,9.77,Hermione,"NA",NA,NA
45,dark,2020-08-28,22:08,740.3,15.9,134.8,13,Harry,7,40,2020-08-29,10:14,740.7,10.9,90.3,9.73,Harry,"NA",NA,NA
46,dark,2020-08-28,22:12,740.3,15.7,110.3,10.68,Hermione,5,40,2020-08-29,10:17,740.7,11.2,81.099999999999994,8.67,Hermione,"NA",NA,NA
47,dark,2020-08-28,22:12,740.3,16,130,12.51,Harry,6,40,2020-08-29,10:17,740.7,11,88.4,9.5,Harry,"NA",NA,NA
50,dark,2020-08-28,22:16,740.3,15.1,148.6,14.54,Hermione,6,40,2020-08-29,10:19,740.7,12.1,98.7,10.36,Hermione,"NA",NA,NA
53,dark,2020-08-28,22:16,740.3,15.5,104.3,10.11,Harry,6,40,2020-08-29,10:20,740.7,12.5,78.099999999999994,8.1,Harry,"NA",NA,NA
56,dark,2020-08-28,22:21,740.3,15.9,121.2,11.66,Hermione,5,40,2020-08-29,10:22,740.7,12.3,84.2,8.7799999999999994,Harry,"NA",NA,NA
57,dark,2020-08-28,22:20,740.3,15.8,111.1,10.75,Harry,6,40,2020-08-29,10:22,740.7,12.4,83.2,8.65,Hermione,"NA",NA,NA
59,dark,2020-08-28,22:24,740.3,15.9,117.5,11.31,Hermione,5,40,2020-08-29,10:24,740.7,12.4,83.1,8.65,Hermione,"NA",NA,NA
60,dark,2020-08-28,22:24,740.3,15.2,93.2,9.12,Harry,7,40,2020-08-29,10:24,740.7,12,74,7.72,Harry,"NA",NA,NA
63,dark,2020-08-28,22:27,740.3,14.8,101.6,10,Hermione,5,40,2020-08-29,10:26,740.7,12.6,78.3,8.07,Hermione,"NA",NA,NA
64,dark,2020-08-28,22:27,740.3,15.4,91.9,8.95,Harry,6,40,2020-08-29,10:26,740.7,12.3,72.400000000000006,7.53,Harry,"NA",NA,NA
65,dark,2020-08-28,22:30,740.3,14.8,101.5,10.01,Hermione,5,40,2020-08-29,10:28,740.7,12.6,78.400000000000006,8.1300000000000008,Hermione,"NA",NA,NA
66,dark,2020-08-28,22:30,740.3,15.5,119.9,11.66,Harry,7,40,2020-08-29,10:28,740.7,12.8,89.4,9.25,Harry,"NA",NA,NA
67,dark,2020-08-28,22:34,740.3,13.8,94.5,9.53,Hermione,6,40,2020-08-29,10:30,740.7,12.9,76.5,7.87,Hermione,"NA",NA,NA
68,dark,2020-08-28,22:34,740.3,13.8,127.6,12.87,Harry,6,40,2020-08-29,10:30,740.7,13.6,98.2,9.93,Harry,"NA",NA,NA
69,dark,2020-08-28,22:38,740.3,14.3,85.8,8.55,Hermione,6,40,2020-08-29,10:33,740.7,13.2,70.5,7.2,Hermione,"NA",NA,NA
70,dark,2020-08-28,22:38,740.3,13.8,99.4,10.02,Harry,7,40,2020-08-29,10:32,740.7,13.5,87.2,8.85,Harry,"NA",NA,NA
72,dark,2020-08-28,22:43,740.3,14.3,126.4,12.61,Hermione,6,40,2020-08-29,10:35,740.7,13.5,95,9.65,Hermione,"NA",NA,NA
73,dark,2020-08-28,22:43,740.3,13,130.5,13.38,Harry,6,40,2020-08-29,10:35,740.7,14,94.8,9.5399999999999991,Harry,"NA",NA,NA
74,dark,2020-08-28,22:48,740.3,12.5,93.1,9.66,Hermione,5,40,2020-08-29,10:37,740.7,13.9,79,7.93,Hermione,"NA",NA,NA
75,dark,2020-08-28,22:48,740.3,13.1,91.2,9.35,Harry,6,40,2020-08-29,10:37,740.7,14.3,78.7,7.83,Harry,"NA",NA,NA
76,dark,2020-08-28,22:52,740.3,12.1,84.3,8.82,Hermione,6,40,2020-08-29,10:40,740.7,14,71.3,7.16,Hermione,"NA",NA,NA
77,dark,2020-08-28,22:53,740.3,13.3,107.3,10.93,Harry,6,40,2020-08-29,10:40,740.7,14.5,84.7,8.4,Harry,"NA",NA,NA
80,dark,2020-08-28,22:58,740.3,13.9,117.8,11.86,Hermione,5,40,2020-08-29,10:42,740.7,7.4,78.599999999999994,9.26,Hermione,"NA",NA,NA
81,dark,2020-08-28,22:58,740.3,13.8,123.7,12.48,Harry,6,40,2020-08-29,10:42,740.7,6.9,85.2,10.119999999999999,Harry,"NA",NA,NA
83,dark,2020-08-28,23:01,740.3,14.3,117.8,11.75,Hermione,6,40,2020-08-29,10:45,740.7,7.2,85.3,10.01,Hermione,"NA",NA,NA
86,dark,2020-08-28,23:01,740.3,13.5,114.2,11.6,Harry,6,40,2020-08-29,10:45,740.7,6.6,84.5,10.06,Harry,"NA",NA,NA
87,dark,2020-08-28,23:04,740.3,13.2,132.2,13.51,Hermione,5,40,2020-08-29,10:48,740.7,8.3000000000000007,105.4,12.07,Hermione,"NA",NA,NA
89,dark,2020-08-28,23:04,740.3,13.5,132.6,13.48,Harry,7,40,2020-08-29,10:48,740.7,9,99.5,11.18,Harry,"NA",NA,NA
90,dark,2020-08-28,23:07,740.3,13.1,90,9.19,Hermione,5,40,2020-08-29,10:52,740.7,9.5,72,8.01,Hermione,"NA",NA,NA
96,dark,2020-08-28,23:07,740.3,12.5,134.3,13.95,Harry,7,40,2020-08-29,10:51,740.7,9.1999999999999993,104.7,11.71,Harry,"NA",NA,NA
97,dark,2020-08-28,23:11,740.3,13.1,121.1,12.41,Hermione,6,40,2020-08-29,10:54,740.7,10,94.1,10.36,Hermione,"NA",NA,NA
99,dark,2020-08-28,23:11,740.3,12.5,163.5,16.99,Harry,8,40,2020-08-29,10:54,740.7,9.6999999999999993,124.3,13.79,Harry,"NA",NA,NA
