file,tube,NDVI_R,coreid
MG10.JPG,1,0.2766244901226828,10
MG11.JPG,1,0.2642224976634569,11
MG12.JPG,1,0.28918795315665397,12
MG13.JPG,1,0.24756248680826334,13
MG14.JPG,1,0.2722106287216322,14
MG16.JPG,1,0.23869630586950946,16
MG17.JPG,1,0.3222656380899741,17
MG18.JPG,1,0.27544692007368843,18
MG19.JPG,1,0.26371987007440667,19
MG2.JPG,1,0.2852880594398534,2
MG20.JPG,1,0.2653318966587415,20
MG21.JPG,1,0.23778858608752884,21
MG24.JPG,1,0.33830838525097234,24
MG26.JPG,1,0.23153236034107236,26
MG28.JPG,1,0.26288814630248775,28
MG30.JPG,1,0.33180787638764103,30
MG35.JPG,1,0.23815781458928842,35
MG37.JPG,1,0.3048263196358873,37
MG39.JPG,1,0.32079026363538077,39
MG4.JPG,1,0.3326696078539685,4
MG40.JPG,1,0.30509550529485185,40
MG42.JPG,1,0.23621901945743187,42
MG43.JPG,1,0.3473749832470062,43
MG44.JPG,1,0.27847721675834153,44
MG45.JPG,1,0.25453827140666546,45
MG46.JPG,1,0.2492512012168968,46
MG47.JPG,1,0.25761724707777356,47
MG5.JPG,1,0.33142349953739214,5
MG50.JPG,1,0.3399930240763938,50
MG53.JPG,1,0.25849212862348825,53
MG56.JPG,1,0.26504442210494383,56
MG57.JPG,1,0.26586376378903676,57
MG59.JPG,1,0.2532967762827782,59
MG60.JPG,1,0.2116090888327608,60
MG63.JPG,1,0.25676218616338875,63
MG64.JPG,1,0.22443729244911587,64
MG65.JPG,1,0.25426346913265,65
MG66.JPG,1,0.24689236254282518,66
MG67.JPG,1,0.22857955632214838,67
MG68.JPG,1,0.2931063461328868,68
MG69.JPG,1,0.25544752230416234,69
MG70.JPG,1,0.23954387505516822,70
MG72.JPG,1,0.26637084276289485,72
MG73.JPG,1,0.3095395482793092,73
MG74.JPG,1,0.23458319548006737,74
MG75.JPG,1,0.26020190561510115,75
MG76.JPG,1,0.21718490385299738,76
MG77.JPG,1,0.2413770204084915,77
MG8.JPG,1,0.2760454099064301,8
MG80.JPG,1,0.22642056886468495,80
MG81.JPG,1,0.2404787803122941,81
MG83.JPG,1,0.23077304234140147,83
MG86.JPG,1,0.2841069366586253,86
MG87.JPG,1,0.3047653588521361,87
MG89.JPG,1,0.2859098379726439,89
MG9.JPG,1,0.337176240910512,9
MG90.JPG,1,0.22014962214656353,90
MG96.JPG,1,0.25399744865389184,96
MG97.JPG,1,0.24146357220558098,97
MG99.JPG,1,0.2817011304134127,99
