file,NDVI_R,NDVI_cv,ENDVI,ENDVI_cv,coreid,ENDVI_1mmI
MG1.jpg,0.18326807610007545,0.09643349648615505,0.15211441033359227,0.13710041193737013,1,0.16681559773352522
MG100.jpg,0.36325064538261315,0.0864224571033926,0.2952463657993408,0.10926652829210647,100,0.08127355542486651
MG15.jpg,0.15642198529901177,0.10748570147371328,0.10794551351995886,0.157995988182536,15,0.12831130335518456
MG23.jpg,0.10902507587042251,0.2047140433752539,0.09288941614820323,0.2086380418275407,23,0.18648315309610655
MG25.jpg,0.11202522308730276,0.21607852631549335,0.0869402420890216,0.2563444809847947,25,0.13046758411361242
MG27.jpg,0.16378455203141018,0.20697027512306942,0.11516283393912073,0.2145247248848802,27,0.1689473998679271
MG29.jpg,0.11337098679075085,0.18578000299630118,0.09375265185339653,0.18786200088581312,29,0.10188866019558643
MG3_a.jpg,0.1804562731244676,0.15624515531219865,0.13682236599766448,0.20651305177150237,3,0.14090173552687416
MG31.jpg,0.06591526398021481,0.29738027611285656,0.059231312837963325,0.2966909424393211,31,0.1750514907895927
MG32.jpg,0.23058296506617268,0.0823246160458224,0.18349232889920036,0.12087075174192868,32,0.1663027164728347
MG33.jpg,0.2292876715961291,0.1183100410510776,0.1860684022146439,0.12493510911359766,33,0.1695452368166027
MG34.jpg,0.1773392162036366,0.13570772627487643,0.13983076738153222,0.17997858413917922,34,0.15142914383285275
MG36.jpg,0.1571098193078082,0.16628964050628223,0.12061210940611523,0.21894871200596208,36,0.1652791433923966
MG38.jpg,0.24025588046413063,0.09074409902112134,0.19951457150169744,0.12610181061401857,38,0.15705245518385727
MG41.jpg,0.3022410385280987,0.15398464205073936,0.2278144300029735,0.1881649438625107,41,0.14494925606451192
MG48.jpg,0.27713862971309183,0.09099302484378079,0.22211282231287066,0.12527678069055603,48,0.13605267368114482
MG49.jpg,0.2651896079753156,0.09619466650997996,0.2304809887996726,0.13047964082623031,49,0.14168814730744086
MG51.jpg,0.2949055352916172,0.09031432640790052,0.24572343743750238,0.12443645408980125,51,0.14982167734751375
MG52.jpg,0.22718338809905134,0.08288315016805824,0.19036441329406714,0.1285296404357288,52,0.17572121397162205
MG54.jpg,0.22544157688388253,0.18781003597875293,0.16955607002108466,0.19869188616431266,54,0.1872139964245537
MG55.jpg,0.15410770958622153,0.17124198354552406,0.11655566712642519,0.2294823051386572,55,0.2098526265613321
MG58.jpg,0.19487969514084502,0.1339112397456261,0.1543676956275197,0.1786230833680168,58,0.221609573190695
MG6_b.jpg,0.15675189731825176,0.12192812674842052,0.12308670333211838,0.15658800450382318,6,0.17375854938963808
MG61.jpg,0.04297308483054263,0.4169356094964293,0.031139789855545018,0.4952380078925132,61,0.15840485793987022
MG62.jpg,0.21780445046273475,0.09756750004251305,0.17079308081737218,0.13355027420700671,62,0.1524399095541315
MG7_b.jpg,0.14590751790224232,0.11771590207169076,0.11007402514215893,0.16117476370337816,7,0.1335404677300464
MG71.jpg,0.20675250313901405,0.11044832690573972,0.1601917367138114,0.15561508016986722,71,0.15909864470045126
MG78.jpg,0.08796374686988014,0.329050758834541,0.06734652776412524,0.3946827314679481,78,0.20903483675208692
MG79.jpg,0.36021186606688516,0.1097810892595712,0.2822756390479683,0.15583728713527373,79,0.1864094787578595
MG82.jpg,0.2837879729180425,0.07755644915650672,0.24344323479323524,0.1050458938577741,82,0.13263860603588137
MG84.jpg,0.26468469826683705,0.08622525186885402,0.2201071729647345,0.1288213443501314,84,0.16264625937414484
MG85.jpg,0.26272530674107997,0.07769263328277934,0.23012299928893076,0.0903350661835093,85,0.10812925460594132
MG88.jpg,0.26728070967141554,0.08143576771583179,0.23491465623708374,0.10927518210264996,88,0.1229515684555686
MG91.jpg,0.3078503346504248,0.08015787317968813,0.2668072042894084,0.10305744934429636,91,0.08621797473765096
MG92.jpg,0.3074059841300838,0.07363046498923477,0.27558759617721384,0.10630181678223499,92,0.1430350021564053
MG93.jpg,0.3043368460999324,0.07514388037464485,0.2697337428867166,0.10373257997480756,93,0.15406681509430337
MG94.jpg,0.4140483639316822,0.10567959802397557,0.3538273726887361,0.11421792749676736,94,0.12637707799310183
MG95.jpg,0.3183258865800723,0.0935647710755525,0.27098822816465623,0.11866853275074102,95,0.13513371540140715
MG98.jpg,0.32448233042071556,0.07868697818061463,0.28276155410496356,0.10598185331837659,98,0.15943472238993997
